,Company Name,Company Description,Company Address,Company Website,Company tel Number,Company Emails,Company linkedIn,Comapany Address
44,CiTECH Energy Recovery Solutions,"CiTECH Ltd are an acknowledged leading supplier of Waste Heat Recovery Units (WHRU’s). The CiBAS WHRU has been developed specifically for the offshore oil and gas industry as an all-in-one package with built in silencer and bypass sleeve for flow isolation and control. When compared to other types of WHRU, the CiBAS range offers a 30% to 50% reduction in overall weight and space envelope. The unique and patented design of CiBAS alleviates the need for a separate silencer, isolation and control dampers together with operational and bypass stacks.",Stand: 1N49,https://www.citech.co.uk/,01482755137,mailto:Adrian.Wilson@citech.co.uk,https://www.linkedin.com/company/citech-energy-recovery-solutions-uk-ltd/,"Salisbury House, Saxon Way Priory Park West"
45,ClampOn,Visit our stand and you will be able to see a live Topside Particle Monitor demo and also see more equipment that we use - all based on the same principle : ultrasound,Stand: 3G40,http://www.clampon.com/,4755948850,mailto:anja.bilsbak@clampon.com,https://www.linkedin.com/company/clampon,Vaagsgaten 10
46,CleanSpace Technology Pty Ltd,"CleanSpace respirators are the world’s only smart respirators, providing the highest level of protection, comfort and performance in the industrial setting. We understand the importance of best-in-class PPE that not only performs, but allows the wearer to work comfortably and interact naturally in their work environment. • Highest level of protection - 99.97% HEPA filtration • Lightweight (<400g/0.9lb) • No hoses, belts or waist mounted battery packs • Easy one button system • Up to 8 hours run time",Stand: 1J48,https://cleanspacetechnology.com/,+61284364000,mailto:sales@cleanspacetechnology.com,https://www.linkedin.com/company/cleanspace-technology/,"Unit 5/39 Herbert St, St Leonards NSW"
47,CluisTROM,"CluisTROM and CluisTROM 3D offer certified hearing protection built for the individual. The product conforms to all current category 3 (En352-2) legislation and are manufactured in the United Kingdom at the largest ear mould lab in Europe. Now in our tenth year of production the products remain at the forefront of hearing protection and are as unique to each user as the person themselves. At Cluistrom we believe that prevention is the first defence so we offer full accredited sound surveys, AC/BC hearing testing and protection verification using Kuduwave audiomedical equipment.",Stand: 2M20,https://www.cluistrom.com/,01592649926,mailto:Info@cluistrom.com,http://www.cluistrom.com/,66 High Street
48,CODRA,"Codra is a provider of high quality, robust SCADA/HMI software named Panorama. Codra has been awarded ANSSI Qualification for the SCADA part of its Panorama software platform. This recognition by the French government’s cybersecurity agency is a guarantee for the user that they are adopting a solution whose robustness has been tested and officially accredited by the French state. With 35+ years of experience under our belt, working with many of the major players in the Energy business (from Electricity, through Oil & Gas and on to Renewables).",Stand: 3C35,https://codra.net/en/,+44 (0)161 955 4460,mailto:sales-panorama@codra.fr,https://www.linkedin.com/showcase/codra-software,Codra Software Limited
49,Cognite AS,"Cognite is a global industrial SaaS company that was established with one clear vision: to rapidly empower industrial companies with contextualized, trustworthy, and accessible data to help drive the full-scale digital transformation of asset-heavy industries around the world. Our core Industrial DataOps platform, Cognite Data Fusion™, enables industrial data and domain users to collaborate quickly and safely to develop, operationalize, and scale industrial AI solutions and applications to deliver both profitability and sustainability.",Stand: 1S38,https://www.cognite.com/en/,+47 95 09 21 00,mailto:contact@cognite.com,https://www.linkedin.com/company/cognitedata,Building B
50,COLD PAD,"By allowing repairs during live production and with low POB, our ""no hot work"" solutions help shipowners reduce their important maintenance backlog during regular production and therefore debottleneck planned shutdown activities. COLD PAD provides class approved alternatives to hot works compatible with marine environments. Cold Shield™ is a permanent hull repair / reinforcement and offers a true alternative to crop and renew methodologies. C-CLAW™ is a non-intrusive and heavy-duty fastener with a process-controlled installation that intends to complement welding or drilling.",Stand: 1T30,https://www.cold-pad.com/solutions-applications-marine,+33680461878,mailto:cpe@cold-pad.com,No Data,130 rue de Lourmel
51,Control Valve Solutions,"CVS is now a leader in valve management, repair and supply in the industry. CVS value their work, their customers and their staff which is why they are trusted by so many with their honest approach to business.",Stand: 1P49,http://controlvalvesolutions.co.uk/index.html,441224583116,mailto:sasha.tait@controlvalvesolutions.co.uk,https://www.linkedin.com/in/jade-greenhowe-b6219853/,7 Minto Place
52,Cooper Software,"Cooper Software is IFS Gold Channel Partners, one of the largest independent providers of IFS products, consulting services and support. We focus on making your business systems work harder for you. Thousands of the world’s leading companies use IFS ERP software to effectively manage their customers, people and assets. Contained within a single platform and with the option of hosting in the cloud or on-premise, IFS offers unrivalled industry specific solutions.",Stand: 1X37,https://www.coopersoftware.com/,+44 (0)1383840700,mailto:IFS.sales@coopersoftware.com,https://www.linkedin.com/company/cooper-software/mycompany/?viewAsMember=true,1st Floor
53,Cosasco,No Data,Stand: 1Q41,No Data,No data,No Data,No Data,Unit 1-2 The Energy Development Centre Claymore Drive
54,CRC Industries,"Ambersil offer your complete chemical solution for maintenance chemicals, degreasers, cleaners, lubricants, greases, anti-corrosion, paints, metal working fluids, polymer processing, and more. See more at www.ambersil.com",Stand: 3D07,http://ambersil.com/,441278727272,mailto:marketing_uk@crcind.com,https://www.linkedin.com/company/ambersil/,Ambersil House
55,Crosby Europe,"The Crosby Group is a global leader in the innovation, manufacturing and distribution of products and services used to make lifting and load securement safer and more efficient, with premier brands such as Crosby, Gunnebo Industries, Crosby Straightpoint, Crosby BlokCam, Acco, McKissick, Crosby Feubo, Trawlex, Lebus, and CrosbyIP. With global engineering, manufacturing, distribution and operations, the company provides a broad range of products and solutions for the most demanding applications with uncompromising quality that exceed industry standards.",Stand: 2M21,https://www.thecrosbygroup.com/,No data,mailto:salesuk@thecrosbygroup.com,No Data,Station Street
56,DacmaTech A/S,No Data,Stand: 1P50,No Data,No data,No Data,No Data,Glarmestervej 41
57,Damen Shipyards Group,"Damen Shiprepair & Conversion (DSC) has a worldwide network of sixteen repair and conversion yards of which twelve are located in North West Europe, with more than 50 floating and (covered) drydocks, the largest of which is 420 x 90 metres.",Stand: 1Q40,https://www.damen.com/,31183654739,mailto:info@damen.com,https://www.linkedin.com/company/damen-shiprepair-&-conversion,Avelingen West 20
58,Decom Engineering Ltd,No Data,Stand: 1P52,No Data,No data,No Data,No Data,55 Mullan Road
59,DYNAMIX MODULAR,"Bespoke A60 safe area & Zone II modular cabins for use as ROV control rooms, workshops & storage, accommodation for offshore and onshore applications Bespoke battery energy storage solutions for offshore and onshore applications, Collapsible waste containment bags for offshore & onshore applications - the compact convenient and energy saving way of removing mud and sand.",Stand: 3H69,https://www.dynamix-modular.com/,01224 047064,mailto:solutions@dynamix-modular.com,No Data,"Level 1, Crombie House"
60,Delmar Vryhof,"Delmar Systems and Vryhof are the trusted partners to most offshore energy industry’s leaders, delivering innovative and customer-focused anchoring and mooring solutions. We are committed to the highest standards of safety, integrity, and respect to the environment. We are proud of our legacy and impeccable track record over our combined 100 years, always delivering value in everything we do.",Stand: 2A20,No Data,No data,No Data,No Data,"1st Floor Dock Gate House, Waterloo Quay,"
61,Destec Engineering Limited,"Destec Engineering are a company synonymous with innovative engineering, high quality products and on-site services for over 50 years. Destec are market leaders in high pressure containment solutions through design, engineer and manufacture of clamp connectors, single bolt connectors, seal rings and boiler inspection caps. Destec provide specialist onsite machining services and expertise to many industries. This includes flange facing, portable machining, milling, bolt tensioning, line boring, inspection services and a wide range of services.",Stand: 1V30,https://www.destec.co.uk/,+44 (0) 1522 791721,mailto:Ben.Vincent@destec.co.uk,https://www.linkedin.com/company/destec-engineering-ltd/,Five Mile Lane
62,Downhole Products Ltd,"Downhole Products designs, manufactures, and services application specific casing accessories and cementing tools for the Oil and Gas industries.",Stand: 2J60,http://www.downholeproducts.com/,441224784411,mailto:nathan.brown@downholeproducts.com,https://www.linkedin.com/company/downhole-products-ltd/,Badentoy Road
63,Dräger,"Dräger is a leading international safety company. With subsidiaries in over 40 countries including the UK, Norway, Denmark and the Netherlands, Dräger is perfectly positioned to service its Oil and Gas customers surround the North Sea.",Stand: 3H50,http://www.draeger.com/,+44 (0) 1670 352 891,mailto:Marketing.UK.contractor@draeger.com,https://www.linkedin.com/company/draeger,Moislinger Allee 53-55
64,Dragos,"The industrial networks that control our energy, transportation and manufacturing sectors are increasingly threatened by cyber-attacks. Traditional cyber security approaches for business systems can’t protect these essential industries, it requires specialised technology and know-how. Dragos is a cybersecurity company focused on solving this problem. We’ve assembled the world’s best talent to offer the world's leading product at helping organisations identify what's in their networks, detect threats against them, and provide the tools and know-how to respond. Visit our stand to learn more.",Stand: 1X48,https://www.dragos.com/,No data,mailto:info@dragos.com,No Data,1745 Dorsey Rd Suite R
65,Ductform HFE,"Originally founded in 1974, Ductform manufacture, distribute and install HVAC Ductwork globally from a 40,000sq ft. production facility in Fife, the heart of Scotland. With 95% of our products manufactured in-house, we are able to take full control of the project delivery programme, avoiding unnecessary delays. Our patented Tite-Lite Ducting System is greener, tighter, lighter. Reducing installation times, costs, leakage, and the overall carbon footprint of the project, it represents the perfect solution for offshore contracts as it is lighter and easier to install.",Stand: 2M20,https://www.ductform.co.uk/,01592778330,mailto:sales@ductform.co.uk,https://www.linkedin.com/in/ductform-hfe-58067311a/,"17 Faraday Road, Southfield Industrial Estate"
66,TSC Subsea and NDT Global,"TSC Subsea - TSC Subsea is specialised in advanced subsea inspection methods for challenges where conventional NDT can’t work. With remotely deployable inspection tools we go where divers can’t operate, in hazardous environments, and in restricted locations to inspect welds, pipelines and offshore structures. NDT Global - As an ultra high-tech inspection and integrity assessment services partner, only NDT Global provides asset owners with the best, most precise and most actionable diagnostic information, while consistently striving to achieve Beyond Zero Harm.",Stand: 1W51,http://tscsubsea.com%20%26%20http//ndt-global.com,+44 (0) 1908 317444,mailto:jbancroft@tscsubsea.com,https://www.linkedin.com/company/eddyfitechnologies,Clos Llyn Cwm
67,Edinburgh College,No Data,Stand: 1H33,No Data,No data,No Data,No Data,350 granton Road
68,ELA Container Offshore GmbH,"ELA Container Offshore produces offshore containers for rent and sale to be used on rigs, transformer platforms and on all kind of seagoing vessels, pontoons and barges. ELA provides the modules as Temporary Living Quarters, Offices, Mess Rooms, Galleys, Laundry, Recreation or Locker Rooms for your individual demand. Additionally, ELA also offers a wide range of offshore cargo carrying units.",Stand: 2F60,https://www.ela-offshore.com/,+4959327323500,mailto:info@ela-offshore.com,https://www.linkedin.com/company/3020415?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-2-3%2CtarId%3A143210040549,Zeppelinstr. 19-21
69,Elaflex Ltd,No Data,Stand: 3B12,No Data,No data,No Data,No Data,Riverside House
70,Electron Beam Processes Ltd,"Founded in 1966, EBP is one of the most experienced EB welding specialists in Europe. This form of welding is extensively used throughout the energy sector, such applications include drilling systems, wet mate and dry mate instrumentation, electronic housing assemblies and monitoring equipment. In recent years EBP have evolved our business to provide a manufacturing service as well as our core processes; Specialising in the machining of nickel based alloys, titanium and stainless steels. Our machining capability encompasses 2, 3, 4, 5, 6, 7 axis turning capability & 3, 4, 5 axis milling.",Stand: 2F15,http://www.ebpglobal.com/,441483215400,mailto:a.pragnell@ebpglobal.com,No Data,Unit 4
71,Energy Industries Council (EIC),"Companies from across all the energy sectors will showcase the innovative products and services renowned worldwide for adding real value to projects and the local supply chain. New for 2022, the EIC will host the 'Collaboration Theatre' located within the pavilion. Bringing relevant content to the show floor, identifying tangible opportunities and discussing key industry trends through a programme of project updates and panel discussions.","Stand: 1W30, 1V30, 1U30, 1U20, 1U24, 1U28, 1V10, 1V14, 1W10",https://www.the-eic.com/,+44 (0)20 7091 8600,mailto:internationaltrade@the-eic.com,https://www.linkedin.com/company/energy-industries-council-the-eic-/,Camelford House
72,Energy Institute,No Data,Stand: 2E64,No Data,No data,No Data,No Data,61 New Cavendish St
73,HTL Group - An Authorised Enerpac Distributor,"HTL Group are controlled bolting and joint integrity specialists. Headquartered in the North East of England with strategically located facilities across the UK, HTL offers a range of controlled bolting, flange working, and industrial tool products, equipment services, and training solutions focussed primarily on bolting and joint integrity operations. Alongside HTL’s extensive range of products and services, our second to none customer service ensures customers continue to choose HTL as their preferred partner to solve any challenges they face.",Stand: 1R48,https://htlgroup.com/,+44 (0)1670 700000,mailto:info@htlgroup.com,https://www.linkedin.com/company/4864983/,5 Coopies Lane
74,Enix Power Solutions,"Enix Power Solutions are a dedicated battery pack manufacturer, offering a full bespoke design and manufacturing service for all chemistries of battery packs. Using only world class cell manufacturers such as Engineered Power (High Temp), SAFT and Tadiran. You can rely on Enix Power Solutions to provide a safe and reliable solution for your critical applications.",Stand: 3H39,http://www.enix-power-solutions.co.uk/,+44(0)1215068621,mailto:info@enix-power-solutions.co.uk,https://www.linkedin.com/company/enix-power-solutions/,Unit 2
75,Enpro Subsea,Enpro is a production optimisation specialist focused on delivering enhanced hydrocarbon production for customers through their patented ESSI range of products and services.,Stand: 3H31,No Data,441224974000,mailto:tbryce@enpro-subsea.com,https://www.linkedin.com/company/enpro-subsea,17 Abercrombie Court
76,Ensinger Group Ltd,"Ensinger Group is a market leader in the field of high performance and engineering plastics, excelling in both the manufacture of semi-finished stock shapes and profiles, and in the machining of plastic materials. The Stock Shapes division has over one hundred different engineering plastic materials in its domain, available in rod, sheet and tube, which can be further processed by a number of finishing techniques. Whatever your plastic needs – Ensinger will find the optimal solution.",Stand: 1M38,http://www.ensingerplastics.com/en-gb,441443678400,mailto:sales.uk@ensingerplastics.com,https://www.linkedin.com/company/ensinger-ltd,Wilfried Way
77,EPSI NV,"EPSI has been designing and manufacturing High-Pressure applications for several decaded, delivering the highest quality equipment in combination with the best after-service. Deep-sea Simulators, Hot Isostatic Presses, Cold Isostatic Presses, Warm Isostatic Presses and other custom solutions are part of our expertise.",Stand: 3D94,https://epsi-highpressure.com/,+ 32 (0) 3 711 24 64,mailto:info@epsi.be,https://www.linkedin.com/company/epsi-high-pressure,Walgoedstraat
78,Exloc Instruments UK Ltd,"Exloc Instruments provide harsh and hazardous (Ex) instrumentation products for the process industries. We specialise in intrinsically safe interfacing, display & alarm solutions, ATEX rated PCs and tablets, SmartPhones, cameras & portable lighting.",Stand: 1X43,http://www.exloc.co.uk/,441457239301,mailto:shibbert@exloc.co.uk,https://www.linkedin.com/company/exloc-instruments-uk-ltd/,"Unit 7 Riverside Court, Huddersfield Road"
79,Expro,"For clients working across the entire well lifecycle, Expro is the visionary full-cycle energy services expert offering novel, insightful solutions, dependable competency and award-winning safety. Combining innovative, future-facing technology with high-quality data across Well Construction, Well Flow Management, Subsea Well Access and Well Intervention and Integrity, we have a justifiable reputation for extraordinary performance that keeps your operations running smoothly. Partner with us to help address the critical energy challenges of today and engineer the answers of tomorrow.",Stand: 3C50,http://www.expro.com/,441224225700,mailto:bd.ecis@expro.com,https://www.linkedin.com/company/14038,Lion House
